0,37.4852,7.13045,1,2.1495,0
1,41.5198,11.4364,1,4.54966,0
2,53.0566,10.5858,2,9.95421,1
3,51.8808,12.8685,2,13.772,0
4,59.6976,10.4585,2,15.3325,1
5,68.8665,8.0684,3,14.5506,0
6,66.6142,4.50069,4,13.5455,1
7,73.1867,3.42214,5,11.5801,2
8,57.8906,1.07363,5,12.4475,3
9,37.6557,0.63232,6,11.2542,2
10,26.1839,0.728906,5,8.27506,3
11,23.4261,5.66379,5,5.78191,2
0,23.8151,7.15669,5,3.29022,1
1,28.4537,8.67788,5,0.861959,2
2,54.8021,10.6686,4,3.47034,1
3,55.435,13.152,4,5.04023,2
4,66.3949,9.42677,4,3.52411,1
5,72.0696,7.65006,4,1.5838,2
6,69.1902,6.33819,4,0,1
7,59.9925,2.84279,4,0.667835,2
8,55.7113,1.2841,3,3.28997,1
9,42.8282,1.77056,4,5.78964,2
10,31.5242,1.16719,4,3.99817,1
11,36.836,6.12319,4,3.4121,2
0,22.0766,9.35022,4,1.41504,1
1,36.3778,8.58686,3,0.584885,0
2,38.6679,12.4485,2,0.546364,1
3,62.981,11.1911,2,0.679389,0
4,55.4256,8.32273,2,5.32638,1
5,68.4725,5.8053,2,4.58999,0
6,64.0841,6.32962,2,4.68936,1
7,72.1863,3.16104,3,3.7431,0
8,50.5097,0.363486,3,8.05055,1
9,42.3278,1.24544,4,10.0928,2
10,36.1086,2.42825,4,9.11515,1
11,31.3136,2.60421,5,7.33219,2
0,29.4342,9.28025,5,4.93679,3
1,44.4741,11.1264,5,6.9693,2
2,40.5095,12.7497,5,6.53023,3
3,57.976,11.2118,5,7.25758,2
4,67.8994,8.90654,5,5.0561,1
5,68.1206,9.07322,5,2.82902,2
6,75.9025,3.76843,4,0.338303,1
7,58.7215,3.33085,3,1.82011,0
8,52.1836,0.951124,2,6.23132,1
9,53.953,0.559005,3,10.3206,0
10,39.0039,3.19206,4,11.0272,1
11,29.4727,6.14297,4,9.14553,2
0,28.6502,8.81198,5,7.22301,1
1,39.5422,11.8865,5,6.61813,2
2,44.4734,10.6589,5,8.86252,3
3,64.1814,13.4761,5,6.97478,2
4,57.0953,11.7669,5,7.94227,3
5,72.1401,7.28073,6,5.50077,2
6,71.7104,3.57132,5,2.56845,1
7,69.8622,0.987191,4,0.188853,2
8,54.1171,0,3,2.90004,1
9,38.5743,0,2,2.91286,0
10,36.9867,1.42336,3,3.10594,1
11,24.0736,6.0743,4,1.61557,2
0,22.7449,6.05722,3,0,1
1,35.7667,11.2845,3,0,0
2,54.5187,13.5356,2,2.19659,1
3,58.8653,11.3283,3,3.9411,0
4,69.1376,9.71729,4,2.61995,1
5,65.2017,6.48196,3,1.41146,0
6,71.0083,3.42474,3,0.00214944,1
7,57.1899,2.68595,2,2.77663,0
8,47.6859,1.37833,3,7.90109,1
9,38.1057,1.18473,3,7.94269,0
10,27.3485,3.55777,4,6.48724,1
11,21.7321,4.53334,5,4.48989,2
